id_parlamentar;id_parlamentar_parlametria;casa;legislatura;nome;partido;uf;situacao;em_exercicio;governismo;disciplina;partido_disciplina;partido_atual;votos_validos;num_seguiu;bancada_suficiente;;;;;;;;;;
68720;168720;camara;56;Fábio Henrique;PDT;SE;Titular;1;-0,83071759;0,76779661;PDT;PDT;590;453;VERDADEIRO;;;;;;;;;;
4981;24981;senado;53;Acir Gurgacz;PDT;RO;Titular;1;-0,820970959;0,701492537;PDT;PDT;67;47;VERDADEIRO;;;;;;;;;;
204499;1204499;camara;56;Cássio Andrade;PSB;PA;Titular;1;-0,81326401;0,71686747;PSB;PSB;498;357;VERDADEIRO;;;;;;;;;;
204552;1204552;camara;56;Eduardo Braide;PODE;MA;Titular;0;-0,759978078;0,406639004;PODEMOS;PODEMOS;241;98;VERDADEIRO;;;;;;;;;;
204552;1204552;camara;56;Eduardo Braide;PODE;MA;Titular;0;-0,759978078;0,125581395;PMN;PODEMOS;215;27;;;;;;;;;;;
204541;1204541;camara;56;Eduardo Bismarck;PDT;CE;Titular;1;-0,689133294;0,780530973;PDT;PDT;565;441;VERDADEIRO;;;;;;;;;;
160518;1160518;camara;54;Weliton Prado;PROS;MG;Titular;1;-0,679330331;0,314487633;PROS;PROS;566;178;VERDADEIRO;;;;;;;;;;
178910;1178910;camara;55;Joaquim Passarinho;PSD;PA;Titular;1;3,883818631;0,87414966;PSD;PSD;588;514;VERDADEIRO;;;;;;;;;;
204553;1204553;camara;56;Pastor Sargento Isidório;AVANTE;BA;Titular;1;-0,600362717;0,286238532;AVANTE;AVANTE;545;156;VERDADEIRO;;;;;;;;;;
204360;1204360;camara;56;Silvia Cristina;PDT;RO;Titular;1;-0,596367582;0,751277683;PDT;PDT;587;441;VERDADEIRO;;;;;;;;;;
204534;1204534;camara;56;Tabata Amaral;PDT;SP;Titular;1;-0,594802176;0,512195122;PDT;PDT;533;273;VERDADEIRO;;;;;;;;;;
