"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"1082",100716,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100716","MPV46409","Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2009, com o objetivo de fomentar as exportações do País, e sobre a participação da União em fundos garantidores de risco de crédito para micro, pequenas e médias empresas.","MPV46409",9,"Comissão Medida Provisória","MPV46409"
"1083",100718,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100718","MPV46509","Autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas à aquisição e produção de bens de capital e à inovação tecnológica, altera as Leis nos 10.925, de 23 de julho de 2004, e 11.948, de 16 de junho de 2009, e dá outras providências.","MPV46509",9,"Comissão Medida Provisória","MPV46509"
"1084",100720,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100720","MPV46609","","MPV46609",9,"Comissão Medida Provisória","MPV46609"
"1085",100721,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100721","ANDPU","Associação Nacional dos Defensores Públicos da União","01/07/2009 A 30/06/2011",70000,"Sociedade Civil","01/07/2009 A 30/06/2011"
"1086",100722,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100722","MPV46709","Autoriza, em caráter excepcional, a prorrogação de contratos por tempo determinado firmados com fundamento nas alíneas ""d"" e ""h"" do inciso VI do art. 2o da Lei no 8.745, de 9 de dezembro de 1993, e dá outras providências.","MPV46709",9,"Comissão Medida Provisória","MPV46709"
"1087",100723,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100723","MCCB","Movimento de Cursilhos de Cristandade do Brasil","2008/2010",70000,"Sociedade Civil","2008/2010"
"1088",100726,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100726","MPV46809","Dispõe sobre a transferência de depósitos judiciais e extrajudiciais de tributos e contribuições federais para a Caixa Econômica Federal.","MPV46809",9,"Comissão Medida Provisória","MPV46809"
"1089",100727,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100727","ACALANTO","Associação de Prevenção e Recuperação a Dependentes e Redução de Danos","",70000,"Sociedade Civil",""
"1090",100729,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100729","MPV46909","Abre crédito extraordinário, em favor dos Ministérios da Saúde e dos Transportes, no valor global de R$ 2.168.172.000,00, para os fins que especifica.","MPV46909",9,"Comissão Medida Provisória","MPV46909"
"1091",100730,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100730","MPV47009","Constitui fonte adicional de recursos para ampliação de limites operacionais da Caixa Econômica Federal e dá outras providências.","MPV47009",9,"Comissão Medida Provisória","MPV47009"
"1092",100732,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100732","CBOO","Conselho Brasileiro de Óptica e Optometria","2009/2011",70000,"Sociedade Civil","2009/2011"
